"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"20147662","Records and Information Management Support Services","This notice is a Request for Information (RFI). To provide professional support to the CBP RIM program for a full spectrum of information governance, records management, process development & sustainment, program management and reporting, and communications activities to maintain the Program’s ongoing operations. Disclaimer: The following requested information to be provided is for planning purposes only and does not constitute a Request for Proposal (RFP) nor does it restrict the Government as to the ultimate acquisition approach. The government does not intend to award a contract on the basis of this RFI or to otherwise pay for the information solicited. Any contract that might be awarded based on information received or derived from this RFI will be the outcome of the competitive process. Structure of Responses - Contractors should respond to this RFI by e-mail (only) to lloyd.a.burton@cbp.dhs.gov. Limit response to a maximum of 20 pages.","Apr 18, 2025 12:00 PM EDT","Mar 26, 2025","Mar 26, 2025","Sources Sought","Lloyd A. Burton | Dana L. Blake","Active","N/A","N/A","N/A","Administrative Management and General Management Consulting Services","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","N/A","8(a) Set-Aside (FAR 19.8)"
"SPE8EE25T1489","39--DRUM,FRICTION","Proposed procurement for NSN 3950014673608 DRUM,FRICTION: Line 0001 Qty 6 UI EA Deliver To: W1A8 DLA DIST SAN JOAQUIN By: 0232 DAYS ADO Approved source is 93812 7322026. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 7, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ","MATERIALS HANDLING EQPT","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"W912HZ25Q4741","Hydrovac Excavation","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested, and a written solicitation will not be issued. The solicitation is being issued as a Request for Quote (RFQ) with the intent to award as a simplified acquisition. The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 2025-05. This requirement is 100% 8(a) set aside and utilizes the North American Industry Classification System Code (NAICS) 238990 (All Other Specialty Trade Contractors ) with a size standard of $19 million. This procurement is being conducted in accordance with regulation at FAR 12, Acquisition of Commercial Items and FAR Part 13, Simplified Acquisition Procedures. Please see attached Performance Work Statement (PWS). Instructions to Offerors (Reference FAR 52.212-1) (a) The Offeror is responsible for reading all information contained in this solicitation and all attachments, if any, posted with it. Offerors should check the www.SAM.gov website often for any information regarding this solicitation and/or amendments to this solicitation. For information concerning this solicitation, please email david.g.ammermann@usace.army.mil and Jon-Vincent.S.Holden@usace.army.mil (b) Pursuant to FAR 52.204-7(b), System for Award Management, offerors must be registered in the System for Award Management (SAM) at the time an offer or quotation is submitted, and shall continue to be registered until time of award, during performance, and through final payment of any contract, basic agreement, basic ordering agreement, or blanket purchasing agreement resulting from this solicitation. If an offeror is not registered in SAM at the time of the offer, its offer will not be considered for award. You may register electronically at http://www.sam.gov. (c) Submission of offers. Signed and dated offers are due 03 April 2025, not later than 1:00 PM CST and must be submitted via email to: david.g.ammermann@usace.army.mil and Jon-Vincent.S.Holden@usace.army.mil. Offers may be submitted in writing on letterhead stationery, or as otherwise specified in the solicitation. At a minimum, offers must include: (1) The solicitation number W912HZ25Q4741; (2) A technical description of the items being offered in sufficient detail to evaluate compliance with the requirements in the solicitation. This includes providing the terms of any standard warranty and technical support. This may include product literature, or other documents, if necessary; (3) Unit pricing and extended pricing for each item: State discount terms, if any; (4) Cage code and/or DUNS Number. (d) Late submissions, modifications, revisions, and withdrawals of offers - (1) Offerors are responsible for submitting offers, and any modifications, revisions, or withdrawals, so as to reach the designated government emails by the date and time designated in the solicitation; (2) Any offer, modification, revision, or withdrawal of an offer received after the exact date and time specified for receipt of offers is ""late"" and will not be considered unless it is received before award is made, and the Contracting Officer determines that accepting the late offer would not unduly delay the acquisition; however, a late modification of an otherwise successful offer, that makes its terms more favorable to the Government, will be considered at any time it is received and may be accepted; and (3) Offers may be withdrawn by written notice received at any time before the exact time set for receipt of offers. (e) Contract award. The Government intends to evaluate offers and award a contract without discussions with offerors. Therefore, the offeror’s initial offer should contain the offeror’s best terms from a price and technical standpoint. However, the Government reserves the right to conduct discussions if later determined by the Contracting Officer to be necessary. The Government may reject any or all offers if such action is in the public interest; accept other than the lowest offer; and waive informalities and minor irregularities in offers received. (f) Offers shall be made in accordance with the Performance Work Statement (PWS) document provided in the solicitation. (g) Oral communications ARE NOT acceptable in response to this notice. (h) Technical Inquiries and Questions: All technical inquiries and questions relating to this solicitation are to be submitted via email to david.g.ammermann@usace.army.mil and Jon-Vincent.S.Holden@usace.army.mil. Offerors shall submit questions at least 2 days prior to the closing/response date of the solicitation in order to ensure adequate time is allotted to form an appropriate response and to amend the solicitation, if necessary. Offerors must review the specifications in their entirety and review the www.SAM.gov website for answers to questions prior to submission of an inquiry FAR 52.212-2 - Evaluation -- Commercial Items: (a) The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government. The following factors shall be used to evaluate offers: 1) Lowest Price 2) Technically Capability The Government will issue an award to the offeror whose quote is the Lowest Price that is determined to meet at least the minimum requirements to be determined Technically Capable. (1) Technically Capable is defined as the documented capability to meet the minimum requirements of the project as specified in this solicitation and the attached specifications, including evidence of the offeror's capability to provide the items specified and the ability to meet or exceed the specified delivery schedule. It is imperative that the offeror submit sufficient documentation and information for the Government to determine technical capability and quoted price. Failure to submit sufficient information for the Government to determine technical capability and quoted price may be cause for rejection of your quote. (b) A written notice of award or acceptance of an offer, mailed or otherwise furnished to the successful offeror within the time for acceptance specified in the offer, shall result in a binding contract without further action by either party. Before the offer's specified expiration time, the Government may accept an offer (or part of an offer), whether or not there are negotiations after its receipt, unless a written notice of withdrawal is received before award. (End of provision) The following FAR clauses and provisions may apply to this acquisition: 52.203-3 Gratuities 52.204-4 Printed or Copied Double-Sided on Postconsumer Fiber Content Paper 52.204-7 System for Award Management 52.204-13 System for Award Management Maintenance 52.212-3 Offerors Representations and Certifications- Commercial Items 52.212-4 Contract Terms and Conditions - Commercial Items; 52.212-5 Contract Terms and Conditions Required to Implement Statues or Executive Orders – Commercial Items 52.252-2 Clauses Incorporated by Reference Additionally, the following clauses/provisions located within FAR 52.212- 5 may apply to this acquisition: 52.203-19 Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements 52.204-10 Reporting Executive Compensation and First-Tier Subcontract Awards 52.204-23 Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab and Other Covered Entities 52.204-25 Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment 52.209-6 Protecting the Government's Interests when Subcontracting with Contractors Debarred, Suspended, or Proposed for Debarment 52.209-10 Prohibition on Contracting with Inverted Domestic Corporations 52.219-6 Notice of Total Small Business Set-Aside 52.219-28 Post Award Small Business Program Representation 52.222-3 Convict Labor 52.222-19 Child Labor Cooperation with Authorities and Remedies 52.222-50 Combating Trafficking in Persons 52.223-18 Encouraging Contractor Policies to Ban Text Messaging While Driving 52.232-34 Payment by Electronic Funds Transfer – Other than System for Award Management 52.233- 3 Protest After Award 52.233-4 Applicable Law for Breach of Contract Claim The full text of these FAR clauses can be accessed electronically at website: https://www.acquisition.gov/browse/index/far The following DFARS Clauses and Provisions may be applicable to this acquisition: 252.203-7000 Requirement Relating to Compensation of Former DoD officials 252.203-7002 Requirement to Inform Employees of Whistleblower Rights 252.203-7005 Representation Relating to Compensation of Former DoD officials 252.211-7003 Item Unique Identification and Valuation 252.204-7003 Control Of Government Personnel Work Product 252.232-7003 Electronic Submission of Payment Requests and Receiving Reports 252.232-7010 Levies on Contract Payments 252.243-7001 Pricing Of Contract Modifications The full text of these DFARS clauses can be accessed electronically at website: https://www.acquisition.gov/dfars","Apr 03, 2025 01:00 PM CDT","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Jon-Vincent Holden | David Ammermann","Active","N/A","N/A","N/A","All Other Specialty Trade Contractors","QUALITY CONT SV/SERVICE & TRADE EQ","N/A","8(a) Set-Aside (FAR 19.8)"
"FA940125R0002","Kirtland Air Force Base (KAFB) Base Supply","Amendment 0002: Updates Attachment 16, 52.212-1, to correct Section 1.1 Proposal Package Submission Date and Section 1.1.6.1 Questions Due Date. The Government would also like to notify Industry that there will not be an Industry Day for this Solicitation. Amendment 0001: Clarifies that this effort is an 8(a) Set Aside. No other changes. Notice to Offeror(s)/Supplier(s): Funds are not presently available for this effort. No award will be made under this solicitation until funds are available. The Government reserves the right to cancel this solicitation, either before or after the closing date. In the event the Government cancels this solicitation, the Government has no obligation to reimburse an offeror for any costs. Description of Requirement: The contractor shall, except as specified in the Performance Work Statement (PWS) as Government property or services, provide all personnel, supervision, and any items and services necessary to perform base supply services at Kirtland Air Force Base (KAFB). The contractor shall perform the requirements in this PWS and conform to the professional standards identified in this contract and shall follow all applicable instructions and directives as identified by this PWS. Contractor tasks include the following: The contractor will operate and maintain the base supply services, which will provide a full spectrum of transparent supply chain management service. These supply chain management activities include, but are not limited to, managing supply and demand, sourcing parts, parts disposal coordination, warehousing and inventory tracking, order management, Equipment management, Individual Protection Equipment, parts pickup, Mission Capability and After hours support, Bench stock ordering, Individual Equipment, Document Control, Hazardous Materiel, Flight Service Center functions, Receiving, Weapons Management, Informational Technology, Network system administration, and desktop support. Supply Chain Support Services operate primarily at KAFB. Support is required for off-site locations throughout the state of New Mexico. Support for off-site locations includes but is not limited to Equipment Accountability Element support. The North American Industry Classification System (NAICS) code for this acquisition is 561210 - Facilities Support Services. The size standard for this NAICS code is $47 million. 377 MSG/PK anticipates a firm-fixed price contract consisting of one base year, plus four one-year options. The selection will be made using best value subjective tradeoff source selection procedures, in accordance DoD Source Selection Procedures, dated 20 August 2022.All notices and amendments will be posted to the Government Point of Entry located at https://sam.gov on. The closing date and time for submission of offers, is 3:00 p.m. MDT on 18 April 2025, no late offers will be accepted. All proposals must be submitted via PIEE Solicitation Module. Offerors are requested to submit questions to the points of contact listed in this notice no later than 3:00 p.m. MDT on 9 April 2025. Potential offerors are responsible for monitoring this procurement for any other pertinent information and for downloading their own copy of the solicitation package. All notifications and amendments will be disseminated in the same manner as the solicitation. All contractors must be registered in the System for Award Management (SAM) or their proposal will not be considered. Contractors can obtain further information on the System for Award Management (SAM) at web site https://www.sam.gov.Vendors must register for PIEE at https://piee.eb.mil/ and complete specific training on how to obtain the proposal manager role and use the PIEE Solicitation Module to submit proposals at https://pieetraining.eb.mil/wbt/xhtml/wbt/sol/index.xhtml.","Apr 18, 2025 03:00 PM MDT","Mar 26, 2025","Mar 26, 2025","Solicitation","Winter Silva | Julianne Indelicato","Active","N/A","N/A","N/A","Facilities Support Services","SUPPORT- MANAGEMENT: LOGISTICS SUPPORT","N/A","8(a) Set-Aside (FAR 19.8)"
"SPE4A725T182L","53--COUPLING,CLAMP,GROO","Proposed procurement for NSN 5342003314797 COUPLING,CLAMP,GROO: Line 0001 Qty 690 UI EA Deliver To: DLA DISTRIBUTION DEPOT HILL By: 0195 DAYS ADO This is a source controlled drawing item. Approved sources are 14242 VR1025-200; 15284 2703-200; 26512 GC550FF200A. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. The items furnished must meet the requirements of the drawing cited in the solicitation. Digitized drawings and Military Specifications and Standards may be retrieved, or ordered, electronically. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 3, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Small Arms, Ordnance, and Ordnance Accessories Manufacturing ","HARDWARE AND ABRASIVES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE4A625T24Y9","31--BEARING, BALL, ANNULAR","Proposed procurement for NSN 3110001448519 BEARING, BALL, ANNULAR: Line 0001 Qty 199 UI EA Deliver To: DLA DISTRIBUTION DEPOT HILL By: 0290 DAYS ADO Approved sources are 11083 2F5721; 15434 S16073; 21877 214899; 38443 305S; 52676 6305J. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 3, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Ball and Roller Bearing Manufacturing","BEARINGS","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"FD20302401412","Remanufacture of Compressor Housing, B1-B","Remanufacture of Compressor Housing, B1-B.","Apr 10, 2025 03:00 PM CDT","Mar 26, 2025","Mar 26, 2025","Presolicitation","Mayona Presley | Amy Gil","Active","N/A","N/A","N/A","Other Aircraft Parts and Auxiliary Equipment Manufacturing","AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT","N/A","8(a) Set-Aside (FAR 19.8)"
"W911RX-25-R-A004","Fort Riley Custodial Services","Revised Revision 7: 26 March 2025 The following areas of the solicitation are amended: 1. The following buildings and lines had incorrect formulas in the calculated price per week cell. They have been highlighted and corrected in Attachment AT-7 Facility-List Job Orders (Revision 3): Bldg 248, Lines 9-12 and 18, Bldg 305, Lines 9-13 and 19 and Bldg 1630, Lines 9-10 and 18. 2. Offers Due date is extended to 01 April 2025 3:00 PM CST. Revision 6: 19 March 2025 The following areas of the solicitation are amended: 1. Offer due date is extended to 27 March 2025 5:00 pm CST. 2. Add AT_15 Executive Order 14148 - Additional Recissions of Harmful Executive Orders and Actions. Revision 5: 13 March 2025 The following areas of the solicitation are amended: 1. Questions are addressed within these updates. 2. Addendum to 52.212-1 updated. 3. Addendum to 52.212-2 updated. 4. CLIN quantity and Unit updated. 5. Attachment numbers and dates updated. 6. TE 1 PWS Riley 25-30 Custodial Service updated. (See 1.7.11.5.3) Revision 4: 26 Feruary 2025: The following areas of the solicitation are amended: 1. Offer due date is extended to 20 March 2025 05:00 PM CST. 2. Questions and answers period is extended through 07 March 2025 5:00 pm CST. 3. TE 1 PWS Riley 25-30 Custodial Service updated. (See highlighted portions of Revision 3) 4. TE3 Pricing Schedule Riley 25-30 Custodial Service updated.(See updated instructions, tab 1) 5. AT 7 Facility List-Job Orders updated.(2 buildings added and PWS tasks corrected) 6. AT 8 Custodial Floor Plans updated. 7. Previous questions are addressed within these updates. Revision 3, 20 February 2025: This amendment is an official notification to offerors: Based on questions received before and after the site visit- the government is currently adjusting the following documents: A. TE-3_pricing schedule B. AT-7_facility list job orders C. C. Solicitation document DD1449 D. (addendum far 52.212-1_instructions to offerors & addendum far 52.212-2 basis for award). **consequently, in the next amendment, the government will extend the proposal due date/time and allow time for offerors to adjust proposals and provide questions if necessary. Revision 2, 13 February 2025: 1. Industry questions and answers; 2. Corrections to TE3; 3. Corrections to PWS. 4; Corrections to Facility List - Job Orders 5; Correction to 1449. Revision 1, 29 January 2025: Performance Work Statement changed. Attachment 13 DELIVERY INSTRUCTIONS added. Description changed. Fort Riley is located in Geary and Riley counties of Kansas. Fort Riley consists of approximately 100,000 acres and has 2,000 buildings. The Post population consists of approximately 16,000 Military, government civilian, and Contractor personnel. The contract will provide custodial service in approximately 130 buildings encompassing a little more than 1 million square feet of floor area including 8 child and youth development facilities, 70 administrative facilities, 12 high use administrative and community facilities, 13 training and education facilities, and 16 other facilities including the 1st Infantry Division Headquarters, the US Army Garrison Headquarters, and the 10th Area Support Operations Squadron Headquarters. Detailed facilities location maps showing specific building locations will be provided following contract award. The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform all custodial service tasks and frequencies as described and defined in this Performance Work Statement (PWS), Part 5 Specific Tasks and Attachment , Enterprise Municipal Custodial Services Tasks and Frequency Performance Standards, except for those items specified as Government furnished property and services (If applicable, see Part 4 Contractor Furnished Items and Services). The Contractor shall perform to the standards in this contract. The Contractor shall perform to the standards in this contract.","Apr 01, 2025 03:00 PM CDT","Mar 26, 2025","Mar 26, 2025","Solicitation","Selvena Carter | Richard Brown","Active","N/A","N/A","N/A","Janitorial Services","HOUSEKEEPING- CUSTODIAL JANITORIAL","N/A","8(a) Set-Aside (FAR 19.8)"
"SPE7LX25U5119","53--GASKET","Proposed procurement for NSN 5330123271792 GASKET: Line 0001 Qty 22 UI EA Deliver To: By: 0051 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 3. The Guaranteed Minimum quantity will be 3. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 1KWT0 060 266; D8265 04055436003541; D8265 060266; F1837 300-060266. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 10, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Gasket, Packing, and Sealing Device Manufacturing ","HARDWARE AND ABRASIVES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE7LX25U5112","25--BRAKE SHOE","Proposed procurement for NSN 2530015527040 BRAKE SHOE: Line 0001 Qty 62 UI EA Deliver To: By: 0085 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 8. The Guaranteed Minimum quantity will be 9. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 0GE52 K71-395-00; 7M245 K71-395-00. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 10, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Motor Vehicle Brake System Manufacturing","VEHICULAR EQUIPMENT COMPONENTS","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE7LX25U5079","61--POWER SUPPLY","Proposed procurement for NSN 6130014240360 POWER SUPPLY: Line 0001 Qty 10 UI EA Deliver To: By: 0054 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 5. The Guaranteed Minimum quantity will be 1. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved source is 14749 MIL5J300. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 10, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","ELECTRIC WIRE, POWER DISTRIB EQPT","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE7LX25U5025","29--FILTER ELEMENT,FLUI","Proposed procurement for NSN 2940007367897 FILTER ELEMENT,FLUI: Line 0001 Qty 281 UI EA Deliver To: By: 0064 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 42. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 13800 FP718-5; 14541 85008-133-01; 28718 PL718-05-SEC; 44256 01-114-002; 53964 A910109; 86736 PL718-5FP. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 10, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Other Motor Vehicle Parts Manufacturing","ENGINE ACCESSORIES","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE7M825T3390","59--SWITCH,THERMOSTATIC","Proposed procurement for NSN 5930003620376 SWITCH,THERMOSTATIC: Line 0001 Qty 30 UI EA Deliver To: DLA DISTRIBUTION SAN DIEGO By: 0752 DAYS ADO Line 0002 Qty 1 UI EA Deliver To: DLA DISTRIBUTION SAN DIEGO By: 0180 DAYS ADO All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 7, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Printed Circuit Assembly (Electronic Assembly) Manufacturing","ELECTRICAL/ELECTRONIC EQPT COMPNTS","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE8E925T2223","42--HARNESS,SAFETY,INDU","Proposed procurement for NSN 4240000222522 HARNESS,SAFETY,INDU: Line 0001 Qty 600 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0120 DAYS ADO Approved sources are 55799 A-NGH-C-1-8-1-3-2-1-3-0-0-6-0-0; 8Z172 331. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 7, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Surgical Appliance and Supplies Manufacturing","FIRE/RESCUE/SAFETY; ENVIRO PROTECT","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE7M125Q0711","59--RELAY,ELECTROMAGNET","Proposed procurement for NSN 5945011899162 RELAY,ELECTROMAGNET: Line 0001 Qty 8 UI EA Deliver To: DLA DISTRIBUTION SAN DIEGO By: 0058 DAYS ADO Approved source is 63743 N162-300611. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes may be submitted electronically.","Apr 10, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Relay and Industrial Control Manufacturing","ELECTRICAL/ELECTRONIC EQPT COMPNTS","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
"SPE8E925T2222","42--UVEX GENESIS CLEAR","Proposed procurement for NSN 4240015524142 UVEX GENESIS CLEAR: Line 0001 Qty 16000 UI EA Deliver To: DLA DISTRIBUTION CHERRY POINT By: 0081 DAYS ADO Approved source is 39SU9 S99-S3200D-MIL. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Apr 7, 2025","Mar 26, 2025","Mar 26, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Surgical Appliance and Supplies Manufacturing","FIRE/RESCUE/SAFETY; ENVIRO PROTECT","N/A","SBA Certified Women-Owned Small Business (WOSB) Program Set-Aside (FAR 19.15)"
